# Settlement label points — where the map draws a settlement's dot (§6D TEL-5).
#
# Generated by build_settlement_points.py: OpenStreetMap place nodes (ODbL) assigned
# to the election office's settlement boundaries by point-in-polygon. The basemap
# prints each settlement's name at this exact point, so the dot and the label agree.
# `id` is the office's own "<maz>/<taz>"; `name` is its spelling, and the loader
# falls back to it when an election renumbers the ids. Do not hand-edit: re-run the
# script.
id,name,lat,lon,osm_node,place
01/000,Budapest,47.49788,19.04024,85788293,city
01/001,Budapest 01. kerület,47.49916,19.03514,2142472585,borough
01/002,Budapest 02. kerület,47.53889,18.98264,2142472586,borough
01/003,Budapest 03. kerület,47.56761,19.03678,2142472587,borough
01/004,Budapest 04. kerület,47.57617,19.09551,3151497160,borough
01/005,Budapest 05. kerület,47.49998,19.05053,2142472590,borough
01/006,Budapest 06. kerület,47.50949,19.06532,2142472591,borough
01/007,Budapest 07. kerület,47.5022,19.07515,2142472592,borough
01/008,Budapest 08. kerület,47.4906,19.08734,2142472593,borough
01/009,Budapest 09. kerület,47.46536,19.09036,2142472589,borough
01/010,Budapest 10. kerület,47.48224,19.15649,2142472594,borough
01/011,Budapest 11. kerület,47.46704,19.02746,2049569569,borough
01/012,Budapest 12. kerület,47.50021,18.98559,2142472595,borough
01/013,Budapest 13. kerület,47.5335,19.07062,2142472596,borough
01/014,Budapest 14. kerület,47.51814,19.11386,2142472597,borough
01/015,Budapest 15. kerület,47.55893,19.13821,2142472599,borough
01/016,Budapest 16. kerület,47.51831,19.20437,2142472600,borough
01/017,Budapest 17. kerület,47.47583,19.26941,2142472601,borough
01/018,Budapest 18. kerület,47.43033,19.20186,2142472602,borough
01/019,Budapest 19. kerület,47.44933,19.14412,2142472598,borough
01/020,Budapest 20. kerület,47.4334,19.12092,2142472603,borough
01/021,Budapest 21. kerület,47.42562,19.07037,2142472604,borough
01/022,Budapest 22. kerület,47.41179,19.01083,2049569570,borough
01/023,Budapest 23. kerület,47.3894,19.14416,2142472605,borough
02/001,Abaliget,46.14098,18.11674,21495235,village
02/002,Adorjás,45.84989,18.06406,353817998,village
02/003,Almamellék,46.15754,17.87414,354868981,village
02/004,Almáskeresztúr,46.11961,17.89453,353819634,village
02/005,Alsómocsolád,46.31308,18.24501,279165769,village
02/006,Alsószentmárton,45.79091,18.30479,353819727,village
02/007,Apátvarasd,46.18632,18.48021,309999499,village
02/008,Aranyosgadány,46.00791,18.11916,353818054,village
02/009,Ág,46.296,18.20415,279165926,village
02/010,Áta,45.9369,18.29732,18330987,village
02/011,Babarc,46.00381,18.55472,353819785,village
